date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:39	302495/302495	---MCZ	200	added ('OK')	text/html	etag:%220070b92b4c57bed66cee0ea8da4ec2fa%22	https://BANTUDAGANG.com/	/home/nehphren/kwu/omnichanel1/BANTUDAGANG.com/index.html	(from )
21:34:39	169/169	---MCZ	200	added ('OK')	text/plain	date:Tue,%2028%20May%202024%2014:34:38%20GMT	https://BANTUDAGANG.com/robots.txt		(from )
21:34:40	35849/35849	---M--	200	added ('OK')	image/png	etag:%2264ae6bc8-8c09%22	https://BANTUDAGANG.com/wp-content/uploads/2023/05/Group-13-revised.png	/home/nehphren/kwu/omnichanel1/BANTUDAGANG.com/wp-content/uploads/2023/05/Group-13-revised.png	(from https://BANTUDAGANG.com/)
21:34:40	5842/5842	---MC-	200	added ('OK')	text/html	date:Tue,%2028%20May%202024%2014:34:39%20GMT	https://gmpg.org/xfn/11	/home/nehphren/kwu/omnichanel1/gmpg.org/xfn/11.html	(from https://BANTUDAGANG.com/)
21:34:42	12285/12285	---MCZ	200	added ('OK')	text/css	etag:W/%226423992a-2ffd%22	https://BANTUDAGANG.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.7.1	/home/nehphren/kwu/omnichanel1/BANTUDAGANG.com/wp-content/themes/hello-elementor/theme.min653d.css	(from https://BANTUDAGANG.com/)
21:34:42	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20May%202024%2014:34:42%20GMT	http://static.addtoany.com/	/home/nehphren/kwu/omnichanel1/static.addtoany.com/index.html	(from https://BANTUDAGANG.com/)
21:34:42	56772/56772	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22c25158592e2cb2dda765c66d44f6742e%22	https://BANTUDAGANG.com/feed/	/home/nehphren/kwu/omnichanel1/BANTUDAGANG.com/feed/index.html	(from https://BANTUDAGANG.com/)
21:34:42	1047/1047	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22c25158592e2cb2dda765c66d44f6742e%22	https://BANTUDAGANG.com/comments/feed/	/home/nehphren/kwu/omnichanel1/BANTUDAGANG.com/comments/feed/index.html	(from https://BANTUDAGANG.com/)
21:34:44	81269/81269	---MCZ	200	added ('OK')	text/css	etag:W/%226449f50b-13d75%22	https://BANTUDAGANG.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.12.2	/home/nehphren/kwu/omnichanel1/BANTUDAGANG.com/wp-content/plugins/elementor/assets/css/frontend-lite.mine56c.css	(from https://BANTUDAGANG.com/)
21:34:45	3509/3509	---MCZ	200	added ('OK')	text/css	etag:W/%22646237f5-db5%22	https://BANTUDAGANG.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.7.2	/home/nehphren/kwu/omnichanel1/BANTUDAGANG.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min9f31.css	(from https://BANTUDAGANG.com/)
21:34:46	52948/52948	---MCZ	200	added ('OK')	text/css	etag:W/%226462e7b5-ced4%22	https://BANTUDAGANG.com/wp-content/uploads/essential-addons-elementor/eael-986.css?ver=1714487122	/home/nehphren/kwu/omnichanel1/BANTUDAGANG.com/wp-content/uploads/essential-addons-elementor/eael-9860a3f.css	(from https://BANTUDAGANG.com/)
21:34:47	113381/113381	---MCZ	200	added ('OK')	text/css	etag:W/%22660cb511-1bae5%22	https://BANTUDAGANG.com/wp-includes/css/dist/block-library/style.min.css?ver=6.5.3	/home/nehphren/kwu/omnichanel1/BANTUDAGANG.com/wp-includes/css/dist/block-library/style.minef10.css	(from https://BANTUDAGANG.com/)
21:34:48	69349/69349	---MCZ	200	added ('OK')	text/css	etag:W/%22642d4a20-10ee5%22	https://BANTUDAGANG.com/wp-content/plugins/jet-engine/assets/css/frontend.css?ver=3.1.3.1	/home/nehphren/kwu/omnichanel1/BANTUDAGANG.com/wp-content/plugins/jet-engine/assets/css/frontendbf8c.css	(from https://BANTUDAGANG.com/)
